collocate,raw_frequency,MI
neutrality,2,7.512571073150382
dent,1,6.1555963542010605
provincial,15,7.666832317409175
assembly,1,4.598956627333931
coming,1,1.275894469867006
shred,1,6.1555963542010605
pedro,1,6.127425477234365
without,2,1.0930650300480498
uneasiness,1,4.540460420652322
esmeralda,1,5.949744299996912
regiment,1,3.728158221386521
held,9,3.677202994216041
harbour,1,3.9088260403134116
charms,1,4.151412871058184
ready,2,2.395878606003612
embrace,4,5.517847329473076
caballeros,1,6.715212142136483
hon,2,6.819423892590437
ere,3,4.0953861744491125
who,1,-0.6676200819302246
loyal,1,4.427285688082133
incorruptible,1,6.127425477234365
wou,3,10.80840793915471
courage,90,7.097814176795362
love,5,2.0029243299414516
order,1,1.9083235338816378
far,2,1.5736458882098727
away,8,2.2621482472779904
ined,14,11.642022575790456
sir,6,1.9772740972787577
daniel,5,4.989003200204407
tale,17,5.59348612921773
bow,1,2.6821215903673257
pen,14,4.5326067691432055
oliver,2,3.451000387966938
gave,1,1.037702838840671
dick,2,2.760367487658097
ton,5,7.60222309741336
troth,3,6.558765250048875
promiseth,7,11.649981685458025
tut,9,7.2642866228105705
ye,1,1.4744995364909295
shy,1,3.7371348038212133
honest,1,2.5118018680162724
shed,1,3.6790082802749104
horse,13,4.473785964862077
certain,1,1.4532702529104773
grey,13,4.848086598135461
nay,2,2.9154250859356043
comrade,7,6.055270305856187
thou,3,2.2804272186958765
criest,3,10.807260492098234
mahoun,7,11.649981685458025
wench,1,4.858914151770858
master,12,4.063939088822967
unfriends,1,7.765034266635161
albeit,1,4.882630678388173
richard,1,2.0568531605083695
shelton,6,6.824144375747638
knight,1,2.8669886206563513
soundeth,1,8.324650054570585
matcham,5,6.412811337425795
ed,1,6.455149374657272
raising,10,6.011773275539991
ah,2,2.248467406968926
retorted,3,5.339200350963103
shoot,3,4.85228209771204
spared,1,4.123695757290225
tis,6,4.682525660132588
kill,1,3.280763420140233
kitten,4,7.142552714037965
needs,1,3.3035657110142136
ut,3,7.228339262890754
foul,2,4.893554494418569
lord,1,0.7900670113637942
battle,2,3.4265282991764128
hath,5,4.171982367520328
liar,1,4.843409965234892
eye,15,4.356653116855932
urged,10,5.99688466304624
forest,7,5.433375584373161
these,1,0.3521448003646588
vagabonds,2,7.918036181258546
faces,1,2.5684768993695903
mark,1,2.581995991948134
thro,29,11.438239682832682
manner,1,1.4452836073400444
room,2,0.9858106548626627
truest,2,6.328855649332979
england,2,2.5774796847323214
give,3,1.781079787224528
ja,6,8.501240936655554
maid,4,3.8521446417562593
only,6,1.5710461738067676
li,7,8.218280196253735
bennet,1,5.462449173641115
uncrafty,2,10.402942831046547
contrary,31,6.7219011302872795
bowmen,3,7.2519124306088205
slip,1,3.6448363255867267
fore,1,4.648349382663508
array,2,5.591907240878002
saints,1,4.448254226785589
fight,1,2.727902549049998
beach,1,4.1088255948107735
comb,2,5.92560601656834
replied,1,1.4263670827820973
gentle,13,5.216856951012164
outlaws,1,5.882303019201379
honourable,1,3.5657652444048145
dangerous,4,4.52405960221043
youth,9,4.406929390851505
excellent,1,2.9447527010301244
disposition,2,4.522409844645846
bearing,2,3.7181330747671426
estates,5,5.8690577924513585
neve,1,8.614633624010644
warrant,1,4.308267033818195
bide,3,6.364609235607918
drink,1,2.5320465386732995
cup,3,4.130065824500379
depend,1,3.8416475025567
steady,1,3.235889008349993
indeed,4,2.2994924844719598
crafty,2,6.4909198256184
answer,1,1.4710160213065224
words,4,2.2385384262474393
essential,11,6.921261260091393
tones,1,3.2568959387335896
let,3,1.530853023012773
clean,10,5.2877813531770546
gentlemen,1,2.1356120800760254
truss,2,7.763885501431288
up,7,1.240295911415283
young,2,0.8442287987186343
vigilant,3,6.618753197128285
risingham,1,6.10002650304625
rallying,41,9.91382919173279
moment,32,4.100195201099974
met,2,2.3973417262081185
command,1,2.8371025790611335
riches,1,5.085971602406204
word,3,2.0022834558862606
hold,10,4.074499778904348
partially,4,6.323111808153727
guilty,1,3.438067409144307
blood,2,2.6233947167967524
evade,7,8.21599448097288
mellay,1,8.101506503256374
capon,1,8.101506503256374
heart,6,2.3718902426443034
mary,1,1.5567323817455774
done,1,0.6621814287745628
know,1,-0.3384086533382694
foxham,35,9.22062314320387
cont,2,10.402942831046547
ell,14,10.390392751892257
dowered,18,11.48335211425758
offered,1,2.6220176662976202
marriage,1,1.8170310039821393
became,2,2.513163261385538
another,1,0.64769772878399
whiff,2,6.641742715352984
isn,2,2.717929292757514
bouncing,3,7.512571073150382
asks,1,3.728158221386521
untoward,4,7.456210272893006
surroundings,1,4.569280859187814
however,2,1.9736690584489116
tess,2,3.6027727627443467
laths,2,9.709795650486601
referred,1,4.205612879758111
sentiment,1,3.476533689972103
endure,4,5.1480550224258455
wa,1,7.636111177096833
worthy,1,2.8359498411813253
respect,1,2.4496684726286944
misfortune,1,3.816092045042013
addison,3,6.544580615056918
pain,5,4.026184642666501
many,3,1.7299525546780494
wounds,4,6.069915911773116
marks,3,4.8108084034792125
old,1,-0.16935833090880348
exile,1,4.4288907733357235
kinsmen,20,8.971500598674883
greatest,1,3.0296917717083094
prize,1,3.9313509862813825
career,22,6.366317385516713
numbered,2,6.0591374091928625
wisest,1,4.894117084953525
highest,1,3.4154494037026195
born,6,4.1429816641768085
