collocate,raw_frequency,MI
east,2,3.6404429716067774
west,2,3.400085096578303
only,19,2.365043299798284
shot,5,3.918949688959835
been,39,2.4422955529170856
fired,2,4.605322923210826
plain,3,3.1048463131039608
trace,1,3.5841781330206395
writing,1,2.194848868205595
remains,1,3.408974043995549
beyond,3,2.58266756383863
scratch,1,4.7455068955563755
such,13,2.180120581688172
make,16,2.7216633781050454
us,13,2.2793839748419615
rose,7,2.9693670267483285
spyglass,1,7.993941522666121
here,9,1.8971164599003125
dotted,2,5.584746694613817
pines,1,4.949419084942698
black,4,2.262827643672164
precipices,1,6.16136005891781
well,14,2.033718889867033
dead,1,1.0433662465010558
kept,6,2.959426954779922
gunn,1,5.530088282075953
treasure,2,3.955285866304609
gray,2,3.325796537516641
returned,3,2.398610756237419
gig,1,4.635303755422761
island,1,3.2339066261171143
did,38,2.9368998557557093
greatly,2,3.596410701456274
trouble,2,2.248937133468338
sentry,1,5.573573394015692
shoulder,1,1.9894373620503354
hill,2,2.7196607339463257
bring,4,2.862564610873737
gifts,1,3.7312616456248056
is,90,2.5757867336027562
londoner,1,5.596046249867751
whom,9,2.6775932498986443
christmas,1,3.325796537516641
peaceful,1,3.738328812847898
ticket,1,4.4244088261847505
asking,2,3.116837621194388
agitation,1,3.5337971087282876
grave,6,3.734788986142774
contradictory,1,5.372902698553541
speeches,1,3.738328812847898
product,1,5.824887822296598
mind,13,2.673561640854467
see,17,2.2016643532500506
remarked,1,2.4674930632928356
monk,1,3.5309111038391525
blow,8,4.648433046864554
disappointed,1,3.2148180295545914
hundred,8,3.674788129810749
times,3,2.360939230070967
still,13,2.4822495660926656
entrap,1,6.38450361023202
helen,2,2.5750671935789757
scales,1,4.8369411015160075
balance,4,5.130915218660485
time,17,2.234946971500654
moved,6,3.420090019935457
rain,2,3.065782450394104
footboard,1,8.687088703226067
treating,1,4.5282056198663945
eternal,1,3.536691466754652
differences,1,4.520423479424339
planted,1,4.1491272669314245
god,2,1.5338414692659577
family,5,2.6609812126745447
may,13,2.433851782759912
always,8,2.270867172040028
greeted,1,3.638058800938835
kind,6,2.4997932445227518
loving,2,3.509770987248895
