nodeA,nodeB,weight
Vaughan,Vaughan Parks,12
Hubert Vaughan,Vaughan,24
Miss Melodrame,Vaughan,12
Honor Huxtable,Vaughan,24
Vaughan,Zuke,36
Huxtable,Vaughan,768
Varmer Badcock,Vaughan,12
Vaughan,Whai,24
Varmer,Vaughan,36
Queen,Vaughan,84
Beany Dawe,Vaughan,336
Clerer,Vaughan,96
Maister,Vaughan,24
Reckon,Vaughan,24
Timothy Badcock,Vaughan,84
Benches,Vaughan,12
Suke,Vaughan,108
Dawe,Vaughan,192
Tim Badcock,Vaughan,84
Jane Hiatt,Vaughan,12
Ebenezer Dawe,Vaughan,60
Vaughan,Zee,12
Coom,Vaughan,60
Margery Daw,Vaughan,12
Beany,Vaughan,24
Varmer Yeo,Vaughan,12
Quane,Vaughan,24
Ebenezer,Vaughan,36
Candour,Vaughan,12
Barton,Vaughan,36
Ilfracombe,Vaughan,12
Thou,Vaughan,12
Dame Huxtable,Vaughan,12
Maples,Vaughan,36
Rowley Mires,Vaughan,24
Sally,Vaughan,516
Sally Huxtable,Vaughan,60
Lonnon,Vaughan,60
Cas'n,Vaughan,24
Jack,Vaughan,288
Jan Huxtable,Vaughan,12
Jane,Vaughan,336
Vaughan,Winny,12
Tom Grundy,Vaughan,12
Tim,Vaughan,264
Bill,Vaughan,72
Tom Gundry,Vaughan,84
Vaughan,Zam,12
Ai'll,Vaughan,12
Carnwall,Vaughan,12
Hor,Vaughan,12
Jan,Vaughan,12
Carnisher,Vaughan,12
Phil Dascombe's,Vaughan,12
Squaire Drake's,Vaughan,12
Davonsheer,Vaughan,36
Huxtables,Vaughan,24
Tim Badcock's,Vaughan,12
Tabitha Badcock,Vaughan,12
Vaughan,Zally,12
Billy,Vaughan,24
Ees,Vaughan,12
Tabby Badcock,Vaughan,60
Tabby,Vaughan,132
Spak,Vaughan,12
Majesty,Vaughan,24
Shelfer,Vaughan,2748
Tiverton,Vaughan,24
Michaelmas,Vaughan,24
Ho,Vaughan,24
Charley,Vaughan,468
Cousin Ann,Vaughan,12
Lady Cranberry,Vaughan,48
Lady Cranberry's,Vaughan,36
Know London,Vaughan,12
Hampstead Waterworks,Vaughan,12
Patty,Vaughan,252
Tom,Vaughan,228
Minto,Vaughan,120
Londoner,Vaughan,12
Elton,Vaughan,156
Patty Shelfer,Vaughan,36
Gossip,Vaughan,12
Botany Bay,Vaughan,12
Uncle John,Vaughan,60
Cutting,Vaughan,120
Valentine,Vaughan,24
