nodeA,nodeB,weight
Fanks,Guy Chelsea,32
Guy Chelsea,Little Boy Blue,40
Charteris,Guy Chelsea,312
Guy Chelsea,Joan,8
Diana,Guy Chelsea,16
Boy Blue,Guy Chelsea,24
Boy,Guy Chelsea,64
Guy Chelsea,Guy Chelsea,28
Guy Chelsea,Hush,16
Guy Chelsea,Jenkins,120
Guy Chelsea,Noah,8
Guy Chelsea,William Allen Richardson,8
Guy Chelsea,Pickwick,8
Guy Chelsea,Maid,8
Elizabeth,Guy Chelsea,16
Goody,Guy Chelsea,8
Guy Chelsea,bin,8
Guy Chelsea,Lucy,16
Clara,Guy Chelsea,16
Guy Chelsea,Sarah,8
Guy Chelsea,Sally,8
Amelia,Guy Chelsea,8
Caroline,Guy Chelsea,8
Guy Chelsea,Miss Hann,64
Guy Chelsea,Hann,32
E'll,Guy Chelsea,8
Guy Chelsea,M. A. Chelsea,8
Baby Boy,Guy Chelsea,8
Guy Chelsea,Russell,8
Ann,Guy Chelsea,496
Guy Chelsea,Ran,8
Guy Chelsea,Kenrick Harvey,8
Ann Harvey's,Guy Chelsea,8
Guy Chelsea,Miss Harvey,8
Ann Harvey,Guy Chelsea,32
Guy Chelsea,Kenrick,56
Guy Chelsea,Miss Ann,88
Emma,Guy Chelsea,72
Guy Chelsea,Miss Ann's,16
Guy Chelsea,Sweet,8
Guy Chelsea,Miss Christobel,16
Guy Chelsea,Sweetie,8
Guy Chelsea,Lady Goldsmith,32
Boulogne,Guy Chelsea,16
Guy Chelsea,Slinker,24
Guy Chelsea,Taylor,40
Guy Chelsea,Southwark Cathedral,8
Guy Chelsea,Sevenoaks,8
Guy Chelsea,Library,8
Bill,Guy Chelsea,8
Chelsea,Guy Chelsea,8
Guy Chelsea,Lively,8
Guy Chelsea,Saint Mark,8
Darling Christobel,Guy Chelsea,8
Guy Chelsea,Sanskrit,8
Guy,Miss Charteris,430
Fanks,Guy,40
Guy,Little Boy Blue,50
Charteris,Guy,390
Guy,Joan,10
Diana,Guy,20
Boy Blue,Guy,30
Boy,Guy,80
Guy,Hush,20
Guy,Jenkins,150
Guy,Noah,10
Guy,William Allen Richardson,10
Guy,Pickwick,10
Guy,Maid,10
Elizabeth,Guy,20
Goody,Guy,10
Guy,Guy,45
Guy,bin,10
Guy,Lucy,20
Clara,Guy,20
Guy,Sarah,10
Guy,Sally,10
Amelia,Guy,10
Caroline,Guy,10
Guy,Miss Hann,80
Guy,Hann,40
E'll,Guy,10
Guy,M. A. Chelsea,10
Baby Boy,Guy,10
Guy,Russell,10
Ann,Guy,620
Guy,Ran,10
Guy,Kenrick Harvey,10
Ann Harvey's,Guy,10
Guy,Miss Harvey,10
Ann Harvey,Guy,40
Guy,Kenrick,70
Guy,Miss Ann,110
Emma,Guy,90
Guy,Miss Ann's,20
Guy,Sweet,10
Guy,Miss Christobel,20
Guy,Sweetie,10
Guy,Lady Goldsmith,40
Boulogne,Guy,20
Guy,Slinker,30
Guy,Taylor,50
Guy,Southwark Cathedral,10
Guy,Sevenoaks,10
Guy,Library,10
Bill,Guy,10
Chelsea,Guy,10
Guy,Lively,10
Guy,Saint Mark,10
Darling Christobel,Guy,10
Guy,Sanskrit,10
Fanks,Miss Charteris,172
Little Boy Blue,Miss Charteris,215
Charteris,Miss Charteris,1677
Joan,Miss Charteris,43
Diana,Miss Charteris,86
Boy Blue,Miss Charteris,129
Boy,Miss Charteris,344
Hush,Miss Charteris,86
Miss Charteris,Miss Charteris,903
Jenkins,Miss Charteris,645
Miss Charteris,Noah,43
Miss Charteris,William Allen Richardson,43
Miss Charteris,Pickwick,43
Maid,Miss Charteris,43
Elizabeth,Miss Charteris,86
Goody,Miss Charteris,43
