nodeA,nodeB,weight
James,Miser,213
James,Ye,213
James,Machiavelli,213
Hanbridge,James,213
Crewe,James,852
Bass,James,213
Helen - she,James,213
Edinburgh,James,213
James,Welsh,213
Hurrah,James,213
Crump,James,1278
Ezra Brunt,James,213
Hall,James,426
Emanuel Prockter - I,James,213
James,Ye'll,213
James,Light,213
Glad,James,213
James,Paisley,213
James,Swetnams,213
James,Joshua,213
James,Mont Blanc,213
Don Juan,James,213
James,Norseman,213
Buchanan,James,426
Derby,James,213
Bechstein,James,213
James,Wiltshire,639
Hush,James,213
James,Nottingham,213
James,Lilian Swetnam,213
Fritz,James,639
Dickens,James,213
Charles Dickens,James,213
Ephraim Tellwright,Susan,30
Ephraim Tellwright,Longshaw,14
Ephraim Tellwright,Rathbone,3
Ephraim Tellwright,Helen Rathbone's,1
Ephraim Tellwright,Josiah Wedgwood,1
Ephraim Tellwright,Helen,128
Ephraim Tellwright,Prockter,144
Ephraim Tellwright,Helen Rathbone,2
Bratt,Ephraim Tellwright,7
Ephraim Tellwright,Glasgow,12
Ephraim Tellwright,Moorthorne,2
Avert,Ephraim Tellwright,1
Emanuel Prockter,Ephraim Tellwright,27
Ephraim Tellwright,Prockter  ,1
Ephraim Tellwright,James Ollerenshaw's,3
Ephraim Tellwright,Trafalgar,6
Ephraim Tellwright,Nos,1
Beau Brummel,Ephraim Tellwright,1
Ephraim Tellwright,Whitaker,1
Butt,Ephraim Tellwright,36
Ephraim Tellwright,Uncle,5
Ephraim Tellwright,Mester Ollerenshaw,1
Ephraim Tellwright,Susan - an afternoon,1
Ephraim Tellwright,Prockter - a,1
Ephraim Tellwright,George Frederick Handel,1
Ephraim Tellwright,Robin Adair,1
Ephraim Tellwright,Yorkshire,5
Confucius,Ephraim Tellwright,1
Ephraim Tellwright,Uncle James,7
Ephraim Tellwright,Shakespearean,1
Ephraim Tellwright,Sarah Swetnam,15
Ephraim Tellwright,Swetnam,5
Ephraim Tellwright,Sally,8
Ephraim Tellwright,Sarah,30
Brunt,Ephraim Tellwright,5
Ephraim Tellwright,Lilian,2
Andrew Dean,Ephraim Tellwright,36
Ephraim Tellwright,Nell,1
Ephraim Tellwright,Jane,1
